"Unterseriennummer",0,""
"Probennummer",11," "
"Prüfzeit","Standardkraft","Dehnung","LE-Kanal"
"s","N","mm","mm"
52.9199,12.2503,2.01168,4.0843
53.1399,12.1992,2.01168,4.0843
53.3399,12.2503,2.01168,4.0843
53.5599,12.2844,2.01168,4.0843
53.7799,12.2503,2.01168,4.0843
53.9999,12.1992,2.01168,4.0843
54.2199,12.2332,2.01168,4.0843
54.4199,12.2162,2.01168,4.0843
54.6399,12.1821,2.01168,4.0843
54.8399,12.1821,2.01168,4.0843
55.0599,12.1992,2.01168,4.0843
55.2799,12.1651,2.01168,4.0843
55.4999,12.1651,2.01168,4.0843
55.7199,12.114,2.01168,4.0843
55.9199,12.1651,2.01168,4.0843
56.1399,12.131,2.01168,4.0843
56.3399,12.1651,2.01168,4.0843
56.5599,12.1481,2.01168,4.0843
56.7799,12.0969,2.01168,4.0843
56.9999,12.131,2.01168,4.0843
57.2199,12.0799,2.01168,4.0843
57.4199,12.0969,2.01168,4.0843
57.6399,12.114,2.01168,4.0843
57.8399,12.0799,2.01168,4.0843
58.0599,12.0288,2.01168,4.0843
58.2799,12.0458,2.01168,4.0843
58.4999,12.0118,2.01168,4.0843
58.7199,12.0288,2.01168,4.0843
58.9199,11.9947,2.01168,4.0843
59.1399,11.9606,2.01168,4.0843
59.3399,12.0118,2.01168,4.0843
59.5599,11.9606,2.01168,4.0843
59.7799,11.9436,2.01168,4.0843
59.9999,11.9436,2.01168,4.0843
60.2199,11.9777,2.01168,4.0843
60.4199,11.9095,2.01168,4.0843
60.6399,11.9266,2.01168,4.0843
60.8399,11.9266,2.01168,4.0843
61.0599,11.8925,2.01168,4.0843
61.2799,11.8414,2.01168,4.0843
61.4999,11.9095,2.01168,4.0843
61.7199,11.8414,2.01168,4.0843
61.9199,11.8584,2.01168,4.0843
62.1399,11.8755,2.01168,4.0843
62.3399,11.8925,2.01168,4.0843
62.5599,11.8414,2.01168,4.0843
62.7799,11.8243,2.01168,4.0843
62.9999,11.8414,2.01168,4.0843
63.2199,11.7903,2.01168,4.0843
63.4199,11.7903,2.01168,4.0843
63.6399,11.8073,2.01168,4.0843
63.8399,11.7732,2.01168,4.0843
64.0599,11.7732,2.01168,4.0843
64.2799,11.7391,2.01168,4.0843
64.4999,11.7732,2.01168,4.0843
64.7199,11.7221,2.01168,4.0843
64.9199,11.7391,2.01168,4.0843
65.1399,11.688,2.01168,4.0843
65.3399,11.688,2.01168,4.0843
65.5599,11.671,2.01168,4.0843
65.7799,11.688,2.01168,4.0843
65.9999,11.654,2.01168,4.0843
66.2199,11.688,2.01168,4.0843
66.3399,11.671,2.01168,4.0843
66.3799,11.7051,2.01168,4.0843
66.4199,11.671,2.01168,4.0843
66.6399,11.654,2.01168,4.0843
66.8399,11.1939,2.00934,4.08664
67.0599,8.70639,1.98743,4.10855
67.2799,6.90037,1.96534,4.13064
67.4999,5.53733,1.94337,4.15261
67.7199,4.49802,1.92128,4.1747
67.9199,3.86762,1.90129,4.19469
68.1399,3.3224,1.87932,4.21666
68.3399,2.87941,1.85927,4.2367
68.5599,2.4705,1.83731,4.25867
68.7799,2.18086,1.81528,4.2807
68.9999,1.82306,1.79331,4.30267
69.2199,1.61861,1.77128,4.3247
69.3799,1.43119,1.75531,4.34067
69.4199,1.38007,1.75135,4.34463
69.6399,1.17562,1.72932,4.36666
69.8399,1.09043,1.70927,4.38671
70.0599,0.851898,1.6873,4.40868
70.2799,0.681518,1.66527,4.43071
70.4999,0.613366,1.64331,4.45267
70.7199,0.477063,1.62128,4.4747
70.9199,0.357797,1.60129,4.49469
71.1399,0.17038,1.57932,4.51666
71.3399,0.136304,1.55933,4.53665
71.3799,0.0851898,1.55531,4.54067
71.5599,-0.0340759,1.53736,4.55862
71.7799,-0.102228,1.51527,4.58071
71.9999,-0.204455,1.49324,4.60274
72.2199,-0.289645,1.47139,4.62459
72.4199,-0.374835,1.45123,4.64475
72.6399,-0.391873,1.42926,4.66672
72.8399,-0.460025,1.40927,4.68671
73.0599,-0.511139,1.38742,4.70856
73.2799,-0.562252,1.36533,4.73065
73.3799,-0.613366,1.35531,4.74067
73.4999,-0.630404,1.3433,4.75268
73.7199,-0.596328,1.32133,4.77465
73.9199,-0.630404,1.30122,4.79476
74.1399,-0.698556,1.27931,4.81667
74.3399,-0.715594,1.25927,4.83671
74.5599,-0.732632,1.23736,4.85862
74.7799,-0.766708,1.21539,4.88059
74.9999,-0.766708,1.19324,4.90274
75.2199,-0.83486,1.17127,4.92471
75.3799,-0.83486,1.1553,4.94068
75.4199,-0.817822,1.15134,4.94464
75.6399,-0.851898,1.12925,4.96673
75.8399,-0.903011,1.10932,4.98666
76.0599,-0.885974,1.08729,5.00869
76.2799,-0.920049,1.06526,5.03072
76.4999,-0.920049,1.0433,5.05268
76.7199,-0.885974,1.02133,5.07465
76.9199,-0.851898,1.00128,5.0947
77.1399,-0.783746,0.979309,5.11667
77.3399,-0.766708,0.95926,5.13672
77.3799,-0.783746,0.955299,5.14068
77.5599,-0.74967,0.937291,5.15869
77.7799,-0.698556,0.915382,5.1806
77.9999,-0.698556,0.893293,5.20269
78.2199,-0.66448,0.871324,5.22466
78.4199,-0.596328,0.851275,5.2447
78.6399,-0.528176,0.829306,5.26667
78.8399,-0.460025,0.809378,5.2866
79.0599,-0.357797,0.787349,5.30863
79.2799,-0.340759,0.765259,5.33072
79.3999,-0.255569,0.753254,5.34273
79.4999,-0.221493,0.74323,5.35275
79.7199,-0.204455,0.721261,5.37472
79.9199,-0.221493,0.701273,5.39471
80.1399,-0.119266,0.679244,5.41674
80.3399,-0.187417,0.659375,5.4366
80.5599,-0.153342,0.637346,5.45863
80.7799,-0.102228,0.615317,5.48066
80.9999,-0.136304,0.593228,5.50275
81.2199,-0.153342,0.571319,5.52466
81.4199,-0.119266,0.55133,5.54465
81.6399,-0.0851898,0.529241,5.56674
81.8399,-0.0851898,0.509313,5.58667
82.0599,-0.119266,0.487344,5.60864
82.2799,-0.153342,0.465314,5.63067
82.4999,-0.153342,0.443345,5.65263
82.7199,-0.17038,0.421256,5.67472
82.9199,-0.17038,0.401268,5.69471
83.1399,-0.17038,0.379359,5.71662
83.3599,-0.136304,0.357209,5.73877
83.4199,-0.153342,0.351327,5.74465
83.5799,-0.17038,0.3353,5.76068
83.7999,-0.204455,0.313271,5.78271
84.0199,-0.187417,0.291242,5.80474
84.2399,-0.204455,0.269333,5.82665
84.4599,-0.221493,0.247244,5.84874
84.6799,-0.204455,0.225335,5.87064
84.8799,-0.204455,0.205346,5.89063
85.0999,-0.221493,0.183317,5.91266
85.2999,-0.187417,0.163389,5.93259
85.4199,-0.17038,0.151324,5.94466
85.5199,-0.153342,0.14148,5.9545
85.7399,-0.17038,0.11933,5.97665
85.9599,-0.17038,0.0973612,5.99862
86.1799,-0.153342,0.075272,6.02071
86.3999,-0.204455,0.0533029,6.04268
86.6199,-0.153342,0.0313337,6.06465
86.8399,-0.153342,0.00924452,6.08673
86.9199,-0.153342,0.00180142,6.09418
87.0199,-0.136304,0.000120717,6.09586
87.0599,-0.119266,6.67187e-007,6.09598
87.2799,-0.136304,6.67187e-007,6.09598
87.4999,-0.153342,6.67187e-007,6.09598
87.7399,-0.136304,6.67187e-007,6.09598
87.9799,-0.17038,6.67187e-007,6.09598
88.2199,-0.136304,0.00918449,6.0868
88.4199,-0.17038,0.0294129,6.06657
88.6399,-0.187417,0.0513821,6.0446
88.8399,-0.119266,0.0714304,6.02455
89.0599,-0.102228,0.0934596,6.00252
89.2799,-0.187417,0.115489,5.98049
89.4999,-0.17038,0.137458,5.95852
89.7199,-0.136304,0.159487,5.93649
89.9399,-0.17038,0.181516,5.91446
90.1599,-0.119266,0.203365,5.89261
90.3799,-0.153342,0.225455,5.87052
90.5999,-0.204455,0.247424,5.84856
90.7999,-0.119266,0.267412,5.82857
91.0199,-0.17038,0.289441,5.80654
91.2399,-0.187417,0.31141,5.78457
91.4599,-0.153342,0.33356,5.76242
91.6599,-0.221493,0.353488,5.74249
91.6799,-0.204455,0.355349,5.74063
91.8799,-0.187417,0.375457,5.72052
92.0999,-0.187417,0.397366,5.69861
92.2999,-0.153342,0.417475,5.6785
92.5199,-0.119266,0.439444,5.65654
92.7399,-0.153342,0.461413,5.63457
92.9599,-0.136304,0.483442,5.61254
93.1799,-0.153342,0.505351,5.59063
93.3799,-0.17038,0.52546,5.57052
93.5999,-0.119266,0.547489,5.54849
93.6799,-0.136304,0.555532,5.54045
93.7999,-0.153342,0.567477,5.5285
94.0224,-0.153342,0.589746,5.50623
94.2399,-0.119266,0.611475,5.4845
94.4599,-0.136304,0.633505,5.46247
94.6799,-0.119266,0.655414,5.44057
94.8799,-0.102228,0.675462,5.42052
95.0999,-0.0681518,0.697371,5.39861
95.2999,-0.0511139,0.717419,5.37856
95.5199,0.017038,0.739449,5.35653
95.6999,0.0851898,0.757456,5.33852
95.7399,0.0851898,0.761478,5.3345
95.9599,0.204455,0.783507,5.31247
96.1799,0.408911,0.805476,5.2905
96.3799,0.562252,0.825404,5.27058
96.5999,0.732632,0.847374,5.24861
96.8199,0.885974,0.869343,5.22664
97.0399,1.09043,0.891432,5.20455
97.2599,1.27785,0.913521,5.18246
97.4599,1.43119,0.933449,5.16253
97.6799,1.66972,0.955479,5.1405
97.7199,1.72083,0.95938,5.1366
97.8799,1.85714,0.975467,5.12051
98.0999,2.04455,0.997376,5.0986
98.2999,2.23197,1.01748,5.0785
98.5199,2.43643,1.03939,5.05659
98.7399,2.67496,1.06142,5.03456
98.9599,2.89645,1.08345,5.01253
99.1999,3.11795,1.1074,4.98858
99.4199,3.3224,1.12949,4.96649
99.6399,3.57797,1.1514,4.94458
99.7399,3.61205,1.16142,4.93456
99.8399,3.76539,1.17145,4.92453
100.06,3.96984,1.19348,4.9025
100.28,4.15726,1.21545,4.88053
100.5,4.41283,1.23742,4.85856
100.72,4.70247,1.25945,4.83653
100.92,4.90693,1.27937,4.81661
101.14,5.21361,1.30146,4.79452
101.34,5.41807,1.32145,4.77453
101.56,5.67364,1.34354,4.75244
101.74,5.87809,1.36143,4.73455
101.78,5.98032,1.36539,4.73059
102,6.26997,1.38748,4.7085
102.22,6.5085,1.40933,4.68665
102.42,6.79814,1.42938,4.6666
102.64,7.12186,1.45141,4.64457
102.86,7.3604,1.47343,4.62255
103.08,7.70115,1.4954,4.60058
103.3,8.00784,1.51749,4.57849
103.52,8.29748,1.5394,4.55658
103.74,8.63824,1.56149,4.53449
103.96,8.979,1.5834,4.51258
104.18,9.3368,1.60537,4.49061
104.38,9.62644,1.62554,4.47044
104.6,9.95016,1.64751,4.44847
104.8,10.2909,1.66744,4.42854
105.02,10.6998,1.6894,4.40658
105.24,11.0236,1.71143,4.38455
105.46,11.4495,1.73346,4.36252
105.68,11.8073,1.75543,4.34055
105.74,11.8925,1.76149,4.33449
105.88,12.131,1.77542,4.32056
106.1,12.6251,1.79745,4.29853
106.3,12.9488,1.81744,4.27854
106.52,13.477,1.83941,4.25657
106.74,13.8178,1.86144,4.23454
