Metric,Group1,Group2,Test,Statistic,P_raw,P_adj,Significant,Stats Mode,Stats Decision,Global Test,Global P,Alpha,Decision Reason,Stats Note
Adhesiveness,10%,ctrl,Tukey HSD,-0.19673853289074192,0.9996085851352332,0.9996085851352332,False,auto,parametric,One-way ANOVA + Tukey HSD,0.2492254843724177,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.2492); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Adhesiveness,15%,15%42%pwd,Tukey HSD,-0.38640698719798794,0.994564358595727,0.994564358595727,False,auto,parametric,One-way ANOVA + Tukey HSD,0.2492254843724177,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.2492); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Adhesiveness,15%,5%,Tukey HSD,1.8288014259708592,0.40559082946061165,0.40559082946061165,False,auto,parametric,One-way ANOVA + Tukey HSD,0.2492254843724177,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.2492); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Adhesiveness,15%,ctrl,Tukey HSD,0.11991940982006512,0.999945131241401,0.999945131241401,False,auto,parametric,One-way ANOVA + Tukey HSD,0.2492254843724177,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.2492); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Adhesiveness,15%42%pwd,5%,Tukey HSD,2.241887871099549,0.23424163435571477,0.23424163435571477,False,auto,parametric,One-way ANOVA + Tukey HSD,0.2492254843724177,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.2492); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Adhesiveness,15%42%pwd,ctrl,Tukey HSD,0.506326397018053,0.9849909666421157,0.9849909666421157,False,auto,parametric,One-way ANOVA + Tukey HSD,0.2492254843724177,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.2492); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Adhesiveness,5%,ctrl,Tukey HSD,-1.7006021843791967,0.4714766431713002,0.4714766431713002,False,auto,parametric,One-way ANOVA + Tukey HSD,0.2492254843724177,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.2492); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Modulus (kPa),10%,15%,Tukey HSD,2.262445792502211,0.22745296241883828,0.22745296241883828,False,auto,parametric,One-way ANOVA + Tukey HSD,1.6458868949813638e-06,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=1.646e-06); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Modulus (kPa),10%,15%42%pwd,Tukey HSD,-0.8983206843923442,0.8916775413488527,0.8916775413488527,False,auto,parametric,One-way ANOVA + Tukey HSD,1.6458868949813638e-06,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=1.646e-06); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Modulus (kPa),10%,5%,Tukey HSD,-6.199054432133546,0.0005127993468884151,0.0005127993468884151,True,auto,parametric,One-way ANOVA + Tukey HSD,1.6458868949813638e-06,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=1.646e-06); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Modulus (kPa),10%,ctrl,Tukey HSD,-8.421158208442288,3.162406697232445e-05,3.162406697232445e-05,True,auto,parametric,One-way ANOVA + Tukey HSD,1.6458868949813638e-06,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=1.646e-06); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Modulus (kPa),15%,15%42%pwd,Tukey HSD,-3.160766476894555,0.05633243415349476,0.05633243415349476,False,auto,parametric,One-way ANOVA + Tukey HSD,1.6458868949813638e-06,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=1.646e-06); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Modulus (kPa),15%,5%,Tukey HSD,-8.617710721188267,2.535546829762758e-05,2.535546829762758e-05,True,auto,parametric,One-way ANOVA + Tukey HSD,1.6458868949813638e-06,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=1.646e-06); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Modulus (kPa),15%,ctrl,Tukey HSD,-10.683604000944499,3.059817408446186e-06,3.059817408446186e-06,True,auto,parametric,One-way ANOVA + Tukey HSD,1.6458868949813638e-06,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=1.646e-06); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Modulus (kPa),15%42%pwd,5%,Tukey HSD,-5.238709225148278,0.0020496810405914445,0.0020496810405914445,True,auto,parametric,One-way ANOVA + Tukey HSD,1.6458868949813638e-06,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=1.646e-06); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Modulus (kPa),15%42%pwd,ctrl,Tukey HSD,-7.522837524049943,9.125834193235427e-05,9.125834193235427e-05,True,auto,parametric,One-way ANOVA + Tukey HSD,1.6458868949813638e-06,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=1.646e-06); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Modulus (kPa),5%,ctrl,Tukey HSD,-2.8035423723836255,0.10001396953983277,0.10001396953983277,False,auto,parametric,One-way ANOVA + Tukey HSD,1.6458868949813638e-06,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=1.646e-06); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
